dataset,model,topic_idx,human_idx,c_npmi_10_full,c_npmi_10_nytimes_full,c_npmi_10_test,c_npmi_10_train,c_npmi_10_val,c_uci_full,c_v_full,c_v_nytimes_full,c_v_test,c_v_train,c_v_val,u_mass_full,scores_raw,confidences_raw,c_npmi_10_wikitext_full,c_v_wikitext_full,task
wikitext,mallet,7,6,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,2,1,,,ratings
wikitext,mallet,7,7,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,8,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,9,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,2,1,,,ratings
wikitext,mallet,7,10,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,11,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,12,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,13,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,7,14,0.1338351628,0.0811686251,0.131700983,0.138889654,0.0653306142,1.2215092833,0.6832626363,0.5476203854,0.6743833535,0.7233632424,0.5826458494,-1.6164467662,3,1,,,ratings
wikitext,mallet,8,0,0.2396959908,0.1461677513,0.2376422928,0.2637824498,0.2070979702,2.0351058744,0.776992135,0.6486850009,0.7727109014,0.8156249933,0.736880305,-1.7058755557,2,1,,,ratings
